horodatage;ram_libre_mo;cpu_pct;perf_pct;alim;charge_pct;node;chrome;nb_proc
2026-09-22 00:49:28;5976;20;151;SECTEUR;100;0;0;309
2026-09-22 00:49:59;5772;28;102.2;SECTEUR;100;0;0;321
2026-09-22 00:50:31;6004;13;127.6;SECTEUR;100;1;0;319
2026-09-22 00:51:03;5917;35;97.6;SECTEUR;100;3;0;324
2026-09-22 00:51:34;5552;26;128;SECTEUR;100;3;0;323
2026-09-22 00:52:06;6196;21;88;SECTEUR;100;0;0;318
2026-09-22 00:52:37;5612;49;138.6;SECTEUR;100;4;0;326
2026-09-22 00:53:09;5645;36;136.6;SECTEUR;100;4;0;326
2026-09-22 00:53:40;5908;35;139.1;SECTEUR;100;14;0;335
2026-09-22 00:54:12;5655;34;135.7;SECTEUR;100;4;0;325
2026-09-22 00:54:43;5707;81;127.1;SECTEUR;100;2;0;320
2026-09-22 00:55:15;5633;37;134.8;SECTEUR;100;4;0;324
2026-09-22 00:55:47;5678;43;134.8;SECTEUR;100;4;0;323
2026-09-22 00:56:18;6099;16;88.2;SECTEUR;100;0;0;314
2026-09-22 00:56:50;5682;33;122.4;SECTEUR;100;4;0;324
2026-09-22 00:57:21;5543;43;103.5;SECTEUR;100;4;0;325
2026-09-22 00:57:53;5523;27;127.9;SECTEUR;100;4;0;325
2026-09-22 00:58:24;5557;39;132.2;SECTEUR;100;4;0;325
2026-09-22 00:58:56;5501;40;133.6;SECTEUR;100;4;0;325
2026-09-22 00:59:27;5521;43;134.2;SECTEUR;100;4;0;324
2026-09-22 00:59:59;5499;51;111.9;SECTEUR;100;4;0;325
2026-09-22 01:00:31;5507;51;113;SECTEUR;100;4;0;326
2026-09-22 01:01:02;5838;34;104.4;SECTEUR;100;0;0;311
2026-09-22 01:01:34;5928;13;91.1;SECTEUR;100;0;0;318
