horodatage;ram_libre_mo;cpu_pct;perf_pct;alim;charge_pct;node;chrome;nb_proc
2026-09-13 02:48:00;5217;29;68.7;SECTEUR;100;0;18;323
2026-09-13 02:48:03;5231;6;78.4;SECTEUR;100;0;18;323
2026-09-13 02:48:05;5235;23;76.8;SECTEUR;100;0;18;323
2026-09-13 02:48:08;5239;31;74.2;SECTEUR;100;0;18;323
2026-09-13 02:48:11;5237;11;65.3;SECTEUR;100;0;18;323
2026-09-13 02:48:13;5240;34;66.3;SECTEUR;100;0;18;323
2026-09-13 02:48:16;5237;29;65.2;SECTEUR;100;0;18;323
2026-09-13 02:48:19;5240;11;94.2;SECTEUR;100;0;18;323
2026-09-13 02:48:21;5217;30;67.2;SECTEUR;100;0;18;323
2026-09-13 02:48:24;5231;17;67;SECTEUR;100;0;18;323
2026-09-13 02:48:26;5231;21;72.2;SECTEUR;100;0;18;323
2026-09-13 02:48:29;5231;13;95.3;SECTEUR;100;0;18;323
2026-09-13 02:48:32;5239;14;66.7;SECTEUR;100;0;18;323
2026-09-13 02:48:34;5238;34;66.5;SECTEUR;100;0;18;323
2026-09-13 02:48:37;5233;19;67.7;SECTEUR;100;0;18;323
2026-09-13 02:48:40;5232;3;97.3;SECTEUR;100;0;18;323
2026-09-13 02:48:42;5224;18;81.7;SECTEUR;100;0;18;323
2026-09-13 02:48:45;5225;23;80.7;SECTEUR;100;0;18;323
2026-09-13 02:48:48;5226;21;70.3;SECTEUR;100;0;18;323
2026-09-13 02:48:50;5228;14;120.1;SECTEUR;100;0;18;326
2026-09-13 02:48:53;5236;15;66.4;SECTEUR;100;0;18;323
2026-09-13 02:48:55;5232;27;64;SECTEUR;100;0;18;323
2026-09-13 02:48:58;5231;14;64.9;SECTEUR;100;0;18;323
2026-09-13 02:49:01;5215;5;145.6;SECTEUR;100;3;18;332
2026-09-13 02:49:03;4708;100;129.9;SECTEUR;100;14;18;341
2026-09-13 02:49:06;4121;72;99.3;SECTEUR;100;14;18;342
2026-09-13 02:49:09;3995;69;97.3;SECTEUR;100;14;18;342
2026-09-13 02:49:12;3972;75;109.4;SECTEUR;100;14;18;344
2026-09-13 02:49:15;4012;99;130.4;SECTEUR;100;14;18;342
2026-09-13 02:49:17;3983;96;133.3;SECTEUR;100;14;18;342
2026-09-13 02:49:20;4658;32;86.4;SECTEUR;100;0;18;324
2026-09-13 02:49:22;5191;17;91.8;SECTEUR;100;1;18;327
2026-09-13 02:49:25;4978;20;136.4;SECTEUR;100;14;18;342
2026-09-13 02:49:28;4266;95;128.6;SECTEUR;100;14;18;342
2026-09-13 02:49:30;4015;41;91.4;SECTEUR;100;14;18;342
2026-09-13 02:49:33;3902;51;84.8;SECTEUR;100;14;18;344
2026-09-13 02:49:36;3941;97;131.8;SECTEUR;100;14;18;342
2026-09-13 02:49:39;4067;100;132.4;SECTEUR;100;14;18;342
2026-09-13 02:49:41;4264;64;112;SECTEUR;100;0;18;324
