horodatage;ram_libre_mo;cpu_pct;perf_pct;alim;charge_pct;node;chrome;nb_proc
2026-09-13 02:55:19;5349;23;87.2;SECTEUR;100;0;18;327
2026-09-13 02:55:22;5315;5;67.5;SECTEUR;100;0;18;324
2026-09-13 02:55:25;5315;10;100.4;SECTEUR;100;0;18;324
2026-09-13 02:55:27;5314;34;72.9;SECTEUR;100;0;18;324
2026-09-13 02:55:30;5314;17;70.6;SECTEUR;100;0;18;324
2026-09-13 02:55:32;5317;24;67.9;SECTEUR;100;0;18;324
2026-09-13 02:55:35;5316;13;102.9;SECTEUR;100;0;18;324
2026-09-13 02:55:38;5315;8;73.7;SECTEUR;100;0;18;324
2026-09-13 02:55:40;5320;20;67.6;SECTEUR;100;0;18;324
2026-09-13 02:55:43;5320;14;66.5;SECTEUR;100;0;18;324
2026-09-13 02:55:46;5316;23;92.9;SECTEUR;100;0;18;327
2026-09-13 02:55:48;5315;33;78.7;SECTEUR;100;0;18;324
2026-09-13 02:55:51;5316;18;69.1;SECTEUR;100;0;18;324
2026-09-13 02:55:53;5320;10;72.8;SECTEUR;100;0;18;324
2026-09-13 02:55:56;5330;18;72.7;SECTEUR;100;0;18;325
2026-09-13 02:55:59;5342;4;67.2;SECTEUR;100;0;18;322
2026-09-13 02:56:01;5327;20;79.8;SECTEUR;100;0;18;322
2026-09-13 02:56:04;5330;24;65.3;SECTEUR;100;0;18;322
2026-09-13 02:56:07;5333;27;67.1;SECTEUR;100;0;18;322
2026-09-13 02:56:09;5330;28;68;SECTEUR;100;0;18;322
2026-09-13 02:56:12;5330;26;67.9;SECTEUR;100;0;18;322
2026-09-13 02:56:15;5336;8;70.5;SECTEUR;100;0;18;322
2026-09-13 02:56:17;5343;20;71.6;SECTEUR;100;0;18;322
2026-09-13 02:56:20;5272;36;144.3;SECTEUR;100;4;18;330
2026-09-13 02:56:22;4810;100;123.5;SECTEUR;100;14;18;340
2026-09-13 02:56:25;4227;72;99.1;SECTEUR;100;14;18;340
2026-09-13 02:56:28;4079;72;99.3;SECTEUR;100;14;18;340
2026-09-13 02:56:31;4007;68;98.9;SECTEUR;100;14;18;340
2026-09-13 02:56:34;4241;100;133.6;SECTEUR;100;14;18;340
2026-09-13 02:56:36;4220;98;130.5;SECTEUR;100;14;18;340
2026-09-13 02:56:39;4685;46;79.3;SECTEUR;100;0;18;322
2026-09-13 02:56:42;5300;41;98.5;SECTEUR;100;1;18;324
2026-09-13 02:56:44;5080;25;137.5;SECTEUR;100;14;18;340
2026-09-13 02:56:47;4353;95;121.5;SECTEUR;100;14;18;340
2026-09-13 02:56:50;4103;52;99.9;SECTEUR;100;14;18;340
2026-09-13 02:56:53;4016;54;90.1;SECTEUR;100;14;18;340
2026-09-13 02:56:55;4100;98;132.7;SECTEUR;100;14;18;340
2026-09-13 02:56:58;4198;99;132.6;SECTEUR;100;14;18;341
2026-09-13 02:57:01;4312;86;117.9;SECTEUR;100;0;18;323
